Date,Open,High,Low,Close,Volume
2008-07-01,46.7,46.8,45.11,45.46,3999
2008-07-02,46.36,46.44,46.0,46.0,310
2008-07-03,44.72,45.7,44.72,45.48,1430
2008-07-07,47.3,47.3,47.3,47.3,581
2008-07-08,45.7,46.95,45.7,46.95,543
2008-07-09,47.94,48.0,46.64,46.64,365
2008-07-10,45.0,45.51,43.67,44.25,2354
2008-07-11,44.62,44.62,42.79,42.79,228
2008-07-14,43.61,44.5,43.61,44.5,720
2008-07-16,45.2,45.72,45.2,45.72,100
2008-07-17,45.33,45.33,43.24,43.53,2191
2008-07-18,44.01,45.23,43.88,43.88,1504
2008-07-21,45.37,45.37,42.39,42.39,1626
2008-07-22,42.01,42.99,42.01,42.43,600
2008-07-23,43.0,44.2,42.96,44.2,1276
2008-07-24,48.17,52.4,48.0,52.4,6005
2008-07-25,50.2,50.71,49.6,50.0,7391
2008-07-28,49.45,49.45,48.51,48.54,4129
2008-08-18,58.55,58.55,58.09,58.25,301
2008-08-19,57.0,57.0,55.71,55.71,296
2008-08-20,55.5,56.15,55.5,56.15,1350
2008-08-21,55.41,55.41,54.53,54.53,200
2008-08-22,56.0,57.15,56.0,57.02,886
2008-08-25,57.26,57.26,57.17,57.25,201
2008-08-26,56.0,57.83,56.0,56.4,559
2008-08-27,55.54,56.01,55.43,56.01,1436
2008-08-28,54.83,56.02,54.83,56.02,500
2008-08-29,56.17,57.2,55.74,55.74,438
2008-09-02,55.14,58.02,55.14,57.35,2198
2008-09-03,56.27,56.5,55.64,55.64,347
2008-09-04,55.39,55.39,55.15,55.15,167
2008-09-05,55.0,55.0,54.73,54.73,216
2008-09-08,54.12,58.3,54.12,58.0,3491
2008-09-09,55.32,58.0,55.32,56.93,1058
2008-09-10,56.74,56.74,54.83,55.0,5044
2008-09-11,54.83,55.25,54.83,55.25,621
2008-09-12,55.19,55.57,55.0,55.57,122
2008-09-15,53.31,55.97,52.93,55.97,2936
2008-09-16,53.59,55.57,53.59,55.57,3425
2008-09-17,55.29,55.29,51.9,51.9,1660
2008-09-18,49.61,50.76,49.6,50.53,595
2008-09-19,53.22,58.1,52.23,55.42,4733
2008-09-22,57.75,57.75,54.85,54.85,1037
2008-09-23,51.55,51.55,50.0,50.52,1040
2008-09-24,51.0,51.0,48.48,48.48,1461
2008-09-25,47.42,49.02,47.42,49.02,567
2008-09-26,49.88,49.88,49.88,49.88,37
2008-09-29,48.36,48.53,45.7,45.7,1452
2008-09-30,45.55,48.5,45.55,48.5,2321
2008-10-01,51.42,51.42,50.0,50.0,428
2008-10-02,49.2,51.16,47.6,47.6,1676
2008-10-03,49.64,49.66,49.64,49.66,1511
2008-10-06,46.71,48.68,45.11,45.11,7849
2008-10-07,48.0,48.0,46.0,46.0,2200
2008-10-08,42.33,44.5,41.0,42.93,19928
